item_id,item_name,category,price,gst,image_url
1,Butter Chicken,Main Course (Non-Veg),380.0,5.0,https://sugarspunrun.com/wp-content/uploads/2025/04/Butter-chicken-1-of-1.jpg
2,Chicken Tikka Masala,Main Course (Non-Veg),390.0,5.0,https://i0.wp.com/www.nourishdeliciously.com/wp-content/uploads/2022/11/DSC_9207.jpg
3,Mutton Rogan Josh,Main Course (Non-Veg),450.0,5.0,https://static.toiimg.com/thumb/53192600.cms?width=1200&height=900
4,Fish Curry (Goan Style),Main Course (Non-Veg),420.0,5.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ67cX4YTCOGfflIGONRI9ZqaR6WN2ViWY8pQ&s
5,Prawn Malai Curry,Main Course (Non-Veg),480.0,5.0,https://static.toiimg.com/thumb/54439535.cms?imgsize=161358&width=800&height=800
6,Chicken Korma,Main Course (Non-Veg),370.0,5.0,https://www.errenskitchen.com/wp-content/uploads/2024/04/Chicken-Korma-1-16.jpg
7,Egg Curry,Main Course (Non-Veg),250.0,5.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkchsX_ZF0YqunzrBg8ccqL2ki_UefvLMpBw&s
8,Paneer Butter Masala,Main Course (Veg),340.0,5.0,"https://cdn.zeptonow.com/production///tr:w-600,ar-100-100,pr-true,f-auto,q-80/web/recipes/paneer-butter-masala.png"
9,Dal Makhani,Main Course (Veg),290.0,5.0,https://sinfullyspicy.com/wp-content/uploads/2015/03/4-1.jpg
10,Palak Paneer,Main Course (Veg),310.0,5.0,https://seitansociety.com/wp-content/uploads/2021/10/PalakPaneer1280x903.jpg
11,Malai Kofta,Main Course (Veg),330.0,5.0,https://i0.wp.com/myspicetrunk.com/wp-content/uploads/2021/01/20201219_1907582.jpg?resize=720%2C983&ssl=1
12,Navratan Korma,Main Course (Veg),350.0,5.0,https://www.deliciousmagazine.co.uk/wp-content/uploads/2023/10/2023D159_DIWALI_KORMA__-768x960.jpg
13,Aloo Gobi,Main Course (Veg),260.0,5.0,https://static01.nyt.com/images/2023/12/21/multimedia/ND-Aloo-Gobi-gkwc/ND-Aloo-Gobi-gkwc-mediumSquareAt3X.jpg
14,Bhindi Masala,Main Course (Veg),270.0,5.0,https://myfoodstory.com/wp-content/uploads/2025/03/Bhindi-Masala-2.jpg
15,Mushroom Do Pyaza,Main Course (Veg),300.0,5.0,https://coox-new.s3.ap-south-1.amazonaws.com/images/d/dishes/Mushroom%20do%20Pyaza-1-dish-img.jpeg?v=1734019293934
16,Chana Masala,Main Course (Veg),240.0,5.0,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chana-masala-fb809bc.jpg?quality=90&resize=440,400"
17,Kadhai Paneer,Main Course (Veg),320.0,5.0,https://www.cubesnjuliennes.com/wp-content/uploads/2020/03/Best-Kadai-Paneer-Recipe.jpg
18,Mix Vegetable,Main Course (Veg),280.0,5.0,https://placehold.co/100x100/E0E0E0/333333?text=Mix+Vegetable
19,Dal Tadka,Main Course (Veg),220.0,5.0,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/04/dal-tadka-recipe-500x500.jpg
20,Rajma Chawal (Combo),Main Course (Veg),200.0,5.0,https://www.secondrecipe.com/wp-content/uploads/2017/08/rajma-chawal-1.jpg
21,Hyderabadi Chicken Biryani,Rice Dish (Non-Veg),400.0,5.0,https://www.licious.in/blog/wp-content/uploads/2020/12/Hyderabadi-chicken-Biryani.jpg
22,Mutton Biryani,Rice Dish (Non-Veg),480.0,5.0,https://www.cubesnjuliennes.com/wp-content/uploads/2021/03/Best-Mutton-Biryani-Recipe.jpg
23,Egg Biryani,Rice Dish (Non-Veg),320.0,5.0,https://spicecravings.com/wp-content/uploads/2020/10/Egg-Biryani-Featured-1.jpg
24,Vegetable Biryani,Rice Dish (Veg),300.0,5.0,https://www.sharmispassions.com/wp-content/uploads/2022/03/VegBiryani4.jpg
25,Paneer Biryani,Rice Dish (Veg),330.0,5.0,https://happietrio.com/wp-content/uploads/2019/04/PaneerBiryani1.jpg
26,Kashmiri Pulao,Rice Dish (Veg),280.0,5.0,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/kashmiri-pulao-3.jpg
